route_id,start_location,end_location,start_latitude,start_longitude,end_latitude,end_longitude,driving_travel_time,transit_travel_time,free_flow_driving_travel_time,delay_ratio,travel_time_difference,aqi
1,Athens,Marousi,37.9838,23.7275,38.0541,23.808,,,12,,,
2,Athens,Glyfada,37.9838,23.7275,37.878,23.7544,,,14,,,
3,Athens,Peristeri,37.9838,23.7275,38.015,23.691,,,8,,,
4,Athens,Piraeus,37.9838,23.7275,37.942,23.6465,,,12,,,
5,Marousi,Athens,38.0541,23.808,37.9838,23.7275,,,14,,,
6,Glyfada,Athens,37.878,23.7544,37.9838,23.7275,,,14,,,
7,Peristeri,Athens,38.015,23.691,37.9838,23.7275,,,8,,,
8,Piraeus,Athens,37.942,23.6465,37.9838,23.7275,,,12,,,
9,Marousi,Glyfada,38.0541,23.808,37.878,23.7544,,,22,,,
10,Marousi,Peristeri,38.0541,23.808,38.015,23.691,,,16,,,
11,Marousi,Piraeus,38.0541,23.808,37.942,23.6465,,,18,,,
12,Marousi,Nea Smyrni,38.0541,23.808,37.9452,23.7141,,,20,,,
13,Glyfada,Marousi,37.878,23.7544,38.0541,23.808,,,22,,,
14,Peristeri,Marousi,38.015,23.691,38.0541,23.808,,,14,,,
15,Piraeus,Marousi,37.942,23.6465,38.0541,23.808,,,18,,,
16,Nea Smyrni,Marousi,37.9452,23.7141,38.0541,23.808,,,16,,,
